labels,tweets
1,love life much best
1,flamingo night ofcourse must night
1,flame reading based trailer
1,debauchery know meaning word educated
0,watching grace home alone tonight nothing dinner
0,going miss belly much wait come back
0,damn sweating waiting showered went humid
1,nyummy darlar raining great sailing weather sweden segeln
0,friday nothing waste time twitter facebook lame
0,ing loud idea poor magic jacky meet real life people look college girl grandfather
1,morning start follow friday
1,good apparently raised half million tasc
1,hundred lady slippers bloom upper slope east moose river gorge many eating take many photo
0,beautiful want something like
0,maldito hangova blast last night good time good time good thing must come eventually
0,good finished exam chinese paper hard think screwed essay
0,anyone north london want weekend kind urgent
0,disappointed crab mien super excited realized crab roey enough
0,photograph quit embarassing people
0,another another missed train another lost evening
1,thanks chavous noticed bday calender next year hope found wedding dress wish nice
0,father last minute thinking maybe funny conservative better start googling something fast
1,woken yawn woohoo saturdayy
1,follower expect proper break stop following respectful repeat still friend
0,pain stood foot nursing hard love gorgeous evening
0,feel like miss something inside know
0,mhmh hell summer qettin
0,dang miss playing sims also desperately want play sims
0,love book slid desk fell back radiator cannot devastated
1,whoa probaly look good
1,babe fine woke hehe going breakfast
1,laptop school twitter blockedd
1,start long weekend woohoo
0,sorry make last night find back city last night back ready
1,thanks sweetie alright doll give ever demitweets time
1,three corona last night
0,good luck would like come argentina love
0,woow teasing ing loud
0,funny ing loud good date tomorrow like back couple hour super tired
0,morning england look curtain cloudy sunny cold look like going rain
0,thinking sleeping boring saurday night
0,need follower people follow loser
1,sitting school pretty much bored going train evening anyway
0,really want physical fitness test tomorrow fantasy still shape shattered
0,alright funny hate tell stop
0,hide cell phone stay longer
1,dropped youngin school going couple hour back
0,think pandora really sick setting appointment veterinarian monday
0,ing loud think june ahahnah also like heap reply
1,album start talking sister tell
0,sorry august traveling july
1,agregando geek planet bienvenido
1,exact thing said look like thinking alike
1,thanks recs alright awesome right back
1,cannot believe spent secluded resort palawan feeling blessed right hopefully whole come
1,ciara great thursday came britney show much alright awesome performer
0,alright many people playing spymaster game keep seeing nasty tweet assassination murder unfollow soon
1,would happy receive handbag card ready hehee
1,leave next week trying thing hometime
1,year later finally introduced sanne delicious reader alright rage
1,noticed yesterday actually really happy star trek
1,alright astronaut tweet perhaps could follow saturday
1,thanks hayfever could four seven dwarf sneezy dopey sleepy grumpy
1,allo twitter alright ready
0,ing loud alright going struggling stay night tonight work morning
1,else know think stuff ing loud
0,going back liverpool ready gettin comfy burnley bubble
0,wish school ready miss
1,trouble widget keep displaying default even changed code help
1,need take look sorting cheer head
1,goodnight everyone sweet dream
0,miss true close friend close alright separated alright thing
1,bought bracelet earlier ready
1,eventful beautiful amazing night love life love time shared
1,heading friend house camp offline whole wish luck
1,good seeing positive face
1,went november tried tune hank film stood next russell brand
1,workshop taking place oslo written book event
1,shall type alright name imeem multiple album come work tonight soon love
0,mostly stiffness neck back forgot bananna afterwards
0,work feel totally normal
