Contraction,Meaning
'aight,alright
aint, is not
ain't,is not
amn't,am not
aren't,are not
arent, are not
can't,cannot
cant, cannot
'cause,because
could've,could have
couldve, could have
coulda, could have
couldn't,could not
couldnt, could not
couldn't've,could not have
daren't,dare not
darent, dare not
daresn't,dare not
dasn't,dare not
didn't,did not
didnt, did not
doesn't,does not
doesnt, does not
don't,do not
dont, do not
dunno,do not know
d'ye,do you
e'er,ever
everybody's,everybody is
everyone's,everyone is
finna,fixing
g'day,good day
gday, good day
gnite, good night
gimme,give me
giv'n,given
givn, given
gonna,going to
gon't,go not
gotta,got to
hadn't,had not
hadnt, had not
had've,had have
hasn't,has not
hasnt, has not
haven't,have not
havent, have not
he'd,he had
he'll,he will
he's,he is
hes, he is
he've,he have
how'd,how did
howdy,how do you do
how'll,how will
how're,how are
how's,how is
hows, how is
i'd	i,had
i'd've,i would have
i'll,i will
i'm,i am
im, i am
i'm'a,i am about to
i'm'o,i am going to
innit,is it not
i've,i have
isn't,is not
isnt, is not
it'd,it would
it'll,it will
itll, it will
it's,it is
its,it is
iunno,i do not know
let's,let us
lets, let us
ma'am,madam
maam, madam
mayn't,may not
maynt, may not
may've,may have
methinks,me thinks
mightn't,might not
mightnt,might not
might've,might have
mightve,might have
mustn't,must not
mustnt, must not
mustn't've,must not have
mustntve,must not have
must've,must have
mustve, must have
needn't,need not
neednt, need not
ne'er,never
o'clock,of the clock
oclock,of the clock
o'er,over
ol',old
ol,old
oughtn't,ought not
oughtnt,ought not
's,is
s, is
r,are
're,are
shalln't,shall not
shallnt,shall not
shan't,shall not
shant,shall not
she'd,she had
shed,she had
she'll,she will
shell,she will
she's,she is
shes,she is
should've,should have
shouldve,should have
shouldn't,should not
shouldnt,should not
shouldn't've,should not have
somebody's,somebody is
somebodys, somebody
someone's,someone is
someones, someone
something's,something is
so're,so are
that'll,that will
thatll,that will
that're,that are
thatre,that are
that's,that is
thats, that is
that'd,that would
thatd,that would
there'd,there would
thered, there would
there'll,there will
therell, there will
there're,there are
therere, there are
there's,there is
theres, there is
these're,these are
thesere, these are
these've,these have
theseve, these have
they'd,they would
theyd, they would
they'll,they will
theyll, they will
they're,they are
theyre, they are
they've,they have
theyve, they have
this's,this is
those're,those are
those've,those have
'tis,it is
tis, it is
to've,to have
tove, to have
'twas,it was
itwas,it was
twas, it was
wanna,want to
wasn't,was not
wasnt, was not
we'd,we would
wed, we would
we'd've,we would have
we'll,we will
we're,we are
we've,we have
weve, we have
weren't,were not
werent, were not
what'd,what did
whatd, what did
what'll,what will
whatll, what will
what're,what are
whatre,what are
what's,what is
whats, what is
what've,what have
whatve, what have
when's,when is
whens, when is
where'd,where did
whered, where did
where'll,where will
wherell, where will
where're,where are
where's,where is
wheres,where is
where've,where have
which'd,which would
which'll,which will
whichll,which will
which're,which are
whichre,which are
which's,which is
whichs, which is
which've,which have
who'd,who would
whod, who would
who'd've,who would have
who'll,who will
wholl,who will
who're,who are
whore, who are
who's,who is
whos, who is
who've,who have
whove, who have
why'd,why did
whyd, why did
why're,why are
why's,why is
whys, why is
willn't,will not 
willnt, will not
won't,will not
wont, will not
wonnot,will not 
would've,would have
wouldve, would have
wouldn't,would not
wouldnt, would not
wouldn't've,would not have
yall, you all
y'all,you all 
y'all'd've,you all would have 
y'all're,you all are 
yallre, you all are
yall're, you all are
you'd,you would
youd, you would
you'll,you will
youll, you will
you're,you are
youre, you are
your, you are
you've,you have
youve,you have
